about_us; "About Us"
accept; "Accept"
accept_lesson_description; "Accept Lesson description"
access_successfully_added; "Access successfully added"
actions; "Actions"
activate; "Activate"
active_interval; "Active Interval"
active_payment_item; "Active payment item"
active_student; "Active Student"
active; "Active"
activity; "Activity"
activities; "Activities"
account; "Account"
accounts_receivable; "Accounts Receivable"
add_admin; "Add Admin"
add_by_file; "Add by File"
add_by_viewer; "Add by Viewer"
add_chess_mentor_exercises; "Add Chess Mentor Exercises"
add_computer_player; "Add Computer player"
add_consent_form; "Add Consent Form"
add_event_type; "Add Event Type"
add_rate; "Add Rate"
add_role; "Add Role"
add_interval; "Add Interval"
admin_updated; "Admin Updated"
admin_deleted; "Admin Deleted"
admin_added; "Admin Added"
age; "Age"
email_templates; "Email Templates"
add_age_group; "Add Age Group"
add_assessment; "Add Assessment"
add_answer; "Add Answer"
add_cash_payment; "Add cache payment"
add_cash_payment_for_user; "Add cash payment for user: %s"
add_class_materials; "Add Class Materials"
add_class_materials_for_x; "Add Class Materials for %s"
add_coach; "Add Coach"
add_evaluation_form; "Add Evaluation Form"
add_famous_game; "Add Famous Game"
add_game; "Add Game"
add_game_s; "Add Game: %s"
add_grade; "Add Grade"
add_group; "Add Group"
add_group_tournament; "Add Group Tournament"
add_heading; "Add Heading"
add_video_lesson_to_basket; "Add Video Lesson to basket"
add_lesson_to_basket; "Add Lesson to basket"
add_tournament_to_basket; "Add Tournament to basket"
add_transaction; "Add Transaction"
add_tactic; "Add Tactic"
add_tactical_motif; "Add Tactical Motif"
add_difficulty_level; "Add Difficulty Level"
add_lesson_to_schedule; "Add lesson to schedule"
add_lessons_access; "Add Lessons Access"
add_lesson; "Add Lesson"
add_lessons; "Add Lessons"
add_level; "Add Level"
add_location; "Add Location"
add_news; "Add News"
add_office; "Add Office"
add_payment_item_to_basket; "Add Payment Item to Basket"
add_payment_item_type; "Add Payment Item Type"
add_payment_item_for_tournament_s; "Add Payment Item for Tournament %s"
add_payment_item; "Add Payment Item"
add_payment_option; "Add Payment Option"
add_position_by_file; "Add Position By File"
add_position_by_viewer; "Add Position By Viewer"
add_position_for_s; "Add Position for %s"
add_position_to_play_for_s; "Add Position to play for %s"
add_position_to_play; "Add Position to play"
add_team; "Add Team"
add_test_template; "Add Test Template"
add_test_position_to_play; "Add Test Position to play"
add_test_position; "Add Test Position"
add_time_control; "Add Time control"
add_to_basket; "Add to Basket"
add_to_basket_link; "Add to Basket link"
add_performance_indicator; "Add Performance Indicator"
add_position; "Add Position"
add_private_lesson; "Add Private Lesson"
add_program; "Add Program"
add_tournament; "Add Tournament"
add_question; "Add Question"
add_question_for_s; "Add Question for %s"
edit_evaluation_form; "Edit Evaluation Form"
edit_difficulty_level; "Edit Difficulty Level"
edit_group_tournament; "Edit Group Tournament"
edit_interval; "Edit Interval"
edit_standings; "Edit Standings"
edit_question_for_s; "Edit Question for %s"
edit_question; "Edit Question"
add_arbiter; "Add Arbiter"
add_arbiter_for_tournament_s; "Add Arbiter for Tournament %s"
add_test_question; "Add Test Question"
add_slider_item; "Add Slider Item"
add_student_email_description_message; "Please enter student’s personal e-mail address, so he/she can independently work on the home tasks, check the materials learned during the lessons and go through the games played in the classroom"
add_student; "Add student"
add_section; "Add Section"
add_test; "Add Test"
add_tournament_s_section; "Add Tournament %s Section"
edit_rate; "Edit Rate"
edit_results; "Edit Results"
edit_test_template; "Edit Test Template"
edit_tournament_s_section; "Edit Tournament %s Section"
edit_tactic; "Edit Tactic"
edit_tactical_motif; "Edit Tactical Motif"
add_theme; "Add Theme"
add_user; "Add User"
add_video_lesson; "Add Video Lesson"
address; "Address"
add_product; "Add Product"
add_page; "Add Page"
add_player; "Add Player"
add_guest; "Add Guest"
add_user_s_rate; "Add User %s Rate"
add_branch_manager; "Add Branch Manager"
add; "Add"
admins; "Admins"
advanced; "Advanced"
agenda; "Agenda"
age_group; "Age Group"
age_groups; "Age Groups"
all; "All"
all_activities; "All Activities"
all_coaches; "All Coaches"
all_computer_players; "All Computer Players"
all_days; "All Days"
all_groups; "All Groups"
all_lessons; "All Lessons"
all_materials; "All Materials"
all_locations; "All Locations"
all_sections; "All Sections"
all_students; "All Students"
all_students_must_be_in_one_family; "All students must be in one family"
all_tournaments; "All Tournaments"
all_programs; "All Programs"
allowed_locations; "Allowed locations"
amount; "Amount"
amount_cad; "Amount, CAD"
an_error_occurred; "An error occurred"
annotator; "Annotator"
answer; "Answer"
any_group; "Any group"
april; "April"
apply; "Apply"
are_you_sure_you_want_to_swap_players; "Are you sure you want to swap players?"
are_you_sure_you_want_to_delete_player; "Are you sure you want to delete player from tournament?"
arbiter; "Arbiter"
arbiters; "Arbiters"
arbiter_already_added_to_tournament; "Arbiter already added to Tournament"
arbiter_added_to_tournament; "Arbiter added to Tournament"
arbiter_updated; "Arbiter updated"
arbiter_deleted; "Arbiter deleted"
assessment; "Assessment"
assessments; "Assessments"
assessment_date; "Assessment Date"
assessment_email; "Assessment email"
assessment_email_multiple; "Assessment email (for multiple emails use comma as delimiter)"
assessment_price; "Assessment price"
assessment_coach_rate; "Assessment coach rate"
assessment_payment_item; "Assessment payment item"
august; "August"
author; "Author"
authorize_api_login_id; "Authorize Api Login Id"
authorize_transaction_key; "Authorize Transaction Key"
authorize_test_mode; "Authorize Test Mode"
authorize_net; "Authorize.Net"
average; "Average"
awaiting; "Awaiting"
source; "Source"
subject; "Subject"
substance; "Substance"
sum; "Sum"
sum_must_be_positive; "Sum must be positive"
sum_must_be_negative; "Sum must be negative"
sum_cannot_be_zero; "Sum cannot be zero"
slug_or_name; "Name (slug)"

back_to_coaches_page; "Back to Coaches Page"
back_to_famous_games_list; "Back to Famous Games list"
back_to_games_list; "Back to Games list"
back_to_groups_list; "Back to Groups list"
back_to_group_tournaments; "Back to Group Tournaments"
back_to_lessons; "Back to lessons"
back_to_lesson_page; "Back to Lesson page"
back_to_lesson_students; "Back to Lesson Students"
back_to_lessons_page; "Back to Lessons page"
back_to_lessons_calendar; "Back to Lessons Calendar"
back_to_positions_list; "Back to Positions list"
back_to_positions_to_play_list; "Back to Positions to play list"
back_to_scheduled_lesson_page; "Back to Scheduled Lesson page"
back_to_tactics_list; "Back to Tactic List"
back_to_tournaments_page; "Back to Tournaments page"
back_to_users_page; "Back to Users page"
back_to_questions_list; "Back to Questions list"
back_to_results; "Back to Results"
back; "Back"
back_to_group_players; "Back To Group Players"
back_to_confirm_players; "Back To Confirm Players"
back_to_reconfirm_players; "Back To Reconfirm Players"
balance_is_lower_than_price; "Balance of user or user parent is lower than price of tournament payment item %s. Will be paid by cash?"
balance_s; "Balance: %s"
balance; "Balance"
balance_was_successfully_increased; "Balance was successfully increased"
balance_was_successfully_decreased; "Balance was successfully decreased"
basic; "Basic"
batch_payment; "Batch Payment"
batch_print; "Batch Print"
base_role; "Base Role"
base_per_student; "Base + per student"
biography; "Biography"
billing_address; "Billing Address"
black_possible_long_castling; "Black possible long castling"
black_possible_short_castling; "Black possible short castling"
black_user; "Black User"
black; "Black"
block; "Block"
board; "Board"
book_lesson; "Book lesson"
bought; "Bought"
bought_interval; "Bought Interval"
bought_lesson; "Bought Lesson"
bought_lesson_add_famous_game; "Bought lesson Add Famous Game"
bought_lesson_add_game; "Bought lesson Add Game"
bought_lesson_add_position; "Bought lesson Add Position"
bought_lesson_add_position_to_play; "Bought lesson Add Position To Play"
bought_lesson_edit_game; "Bought lesson edit game"
bought_lesson_edit_famous_game; "Bought lesson Edit Famous Game"
bought_lesson_edit_position; "Bought lesson Edit Position"
bought_lesson_edit_position_to_play; "Bought lesson Edit Position To Play"
bought_lesson_cancelled; "Bought lesson was successfully cancelled"
bought_lesson_famous_games; "Bought lesson Famous Games"
bought_lesson_games; "Bought lessons Games"
bought_lesson_positions; "Bought lesson Positions"
bought_lesson_positions_to_play; "Bought lesson Positions to play"
bought_lesson_successfully_commented; "Bought lesson was successfully commented"
bought_lessons_time_intervals_intersects; "Bought Lesson time intervals intersects"
bought_lessons_out_of_private_lesson_time_range; "Bought Lesson interval is out of private lesson interval"
bought_lessons; "Bought lessons"
building; "Building"
bye; "Bye"
bye_for_current_round_win; "BYE for current round (1 point)"
bye_for_current_round_draw; "BYE for current round (0.5 points)"
bye_for_current_round_lose; "BYE for current round (0 points)"
by_sections; "By Sections"

calendar; "Calendar"
cancel; "Cancel"
cancellation_time; "Сancellation time"
captcha; "Captcha"
cash_payment; "Cash payment"
casl; "CASL"
card_number; "Card Number"
cardholder_name; " Cardholder Name"
cash; "Cash"
catch_and_drag; "Catch and drag"
ce_lessons; "CE Lessons"
certificate; "Certificate"
certificate_has_been_sent_to_parent; "Certificate has been sent to Parent"
cfc; "CFC"
change_personal_data; "Change personal data"
check_to_enemy; "Check to enemy"
checkout; "Checkout"
